ts,market,symbol,tf,signal,score,rr_tp2,entry,stop,tp2
2025-12-17 02:40:46,stocks,AAPL,1h,AVOID,0,,,,
2025-12-17 02:41:12,stocks,AAPL,1h,AVOID,0,,,,
2025-12-17 02:41:17,stocks,AAPL,1m,AVOID,0,,,,
2025-12-17 02:42:16,stocks,AAPL,1m,AVOID,0,,,,
2025-12-17 02:42:46,stocks,AAPL,1m,AVOID,0,,,,
2025-12-17 02:43:17,stocks,AAPL,1m,AVOID,0,,,,
2025-12-17 02:43:47,stocks,AAPL,1m,AVOID,0,,,,
2025-12-17 02:44:17,stocks,AAPL,1m,AVOID,0,,,,
2025-12-23 09:00:06,stocks,AAPL,1h,AVOID,0,,,,
2025-12-30 09:00:31,stocks,AAPL,1h,AVOID,0,,,,
2026-01-02 16:57:07,stocks,AAPL,1h,AVOID,0,,,,
2026-01-06 09:00:07,stocks,AAPL,1h,AVOID,0,,,,
