avg_return_per_trade,ts,realized_pnl,wins,max_drawdown,win_rate,timestamp,losses,name,trades,total_return_pct,total_return_abs,id
1.0762762185238441,2026-01-07T20:32:13.744352,236.7807680752457,171,319.8583943441354,0.7772727272727272,2026-01-07T20:32:13.744352,48,sweep_bs30_ps0p01,220,0.023678076807524304,236.78076807524303,31
2.175762809365161,2026-01-07T20:32:21.246261,478.66781806033543,171,663.6010006664965,0.7772727272727272,2026-01-07T20:32:21.246261,48,sweep_bs30_ps0p02,220,0.04786678180603394,478.6678180603394,32
5.617923791385877,2026-01-07T20:32:28.822865,1235.943234104893,171,1852.3632924455069,0.7772727272727272,2026-01-07T20:32:28.822865,48,sweep_bs30_ps0p05,220,0.12359432341049051,1235.943234104905,33
1.628166610409827,2026-01-07T20:32:35.889022,144.9068283264746,74,95.06400831113024,0.8314606741573034,2026-01-07T20:32:35.889022,14,sweep_bs40_ps0p01,89,0.014490682832647508,144.90682832647508,34
3.277906332993827,2026-01-07T20:33:02.381829,291.7336636364506,74,193.28413060865932,0.8314606741573034,2026-01-07T20:33:02.381829,14,sweep_bs40_ps0p02,89,0.029173366363645255,291.73366363645255,35
8.359106405135337,2026-01-07T20:33:39.766314,743.9604700570451,74,507.66161079989433,0.8314606741573034,2026-01-07T20:33:39.766314,14,sweep_bs40_ps0p05,89,0.07439604700570471,743.9604700570471,36
2.5640517437852437,2026-01-07T20:33:49.175912,89.74181103248353,32,17.74265483946874,0.9142857142857143,2026-01-07T20:33:49.175912,2,sweep_bs50_ps0p01,35,0.008974181103248156,89.74181103248156,37
5.149542023608181,2026-01-07T20:33:52.516801,180.2339708262863,32,35.82788353890646,0.9142857142857143,2026-01-07T20:33:52.516801,2,sweep_bs50_ps0p02,35,0.01802339708262825,180.23397082628253,38
13.03628656498408,2026-01-07T20:33:55.749733,456.2700297744428,32,92.1870285773548,0.9142857142857143,2026-01-07T20:33:55.749733,2,sweep_bs50_ps0p05,35,0.04562700297744413,456.27002977444135,39
3.1000683916777447,2026-01-07T20:33:58.955188,34.10075230845519,10,0.0,0.9090909090909091,2026-01-07T20:33:58.955188,0,sweep_bs60_ps0p01,11,0.0034100752308455413,34.10075230845541,40
6.209644081806861,2026-01-07T20:34:01.431086,68.30608489987547,10,0.0,0.9090909090909091,2026-01-07T20:34:01.431086,0,sweep_bs60_ps0p02,11,0.0068306084899875715,68.30608489987571,41
15.595674233958578,2026-01-07T20:34:03.949467,171.55241657354435,10,0.0,0.9090909090909091,2026-01-07T20:34:03.949467,0,sweep_bs60_ps0p05,11,0.0171552416573546,171.552416573546,42
